acronym,anatomical_group,n_pids,n_sessions,n_sessions_ge5,n_units,amplitude_hz,latency_ms,latency_gated_ms,trial_ci_low_ms,trial_ci_high_ms,trial_bootstrap_valid,p_value,passes_coverage,q_value,significant,latency_ci_low_ms,latency_ci_high_ms,bootstrap_valid
FL,Cerebellum,4,4,3,39,2.535273204312241,14.0,,,,0,0.978021978021978,True,0.9828162034044386,False,14.0,70.0,1000
ANcr1,Cerebellum,10,10,10,421,4.604554504324652,90.0,136.0,,,0,0.011988011988011988,True,0.039008610437181866,False,64.0,122.0,1000
DEC,Cerebellum,7,7,7,190,1.251408032160942,94.0,,,,0,0.5564435564435565,True,0.6576851719708862,False,4.0,142.00000000000003,1000
NOD,Cerebellum,9,9,7,165,6.810615289631965,110.0,110.0,,,0,0.000999000999000999,True,0.005688755688755689,True,90.0,132.0,1000
PRM,Cerebellum,18,15,13,382,8.44012896638214,110.0,110.0,,,0,0.061938061938061936,True,0.12448335977747742,False,32.0,130.0,1000
COPY,Cerebellum,15,13,11,284,2.967841296258954,114.0,,,,0,0.43456543456543456,True,0.5515649994177602,False,53.950000000000045,140.0,1000
FN,Cerebellum,5,5,1,46,17.01632753844283,114.0,136.0,,,0,0.01098901098901099,False,,False,42.0,138.0,1000
IP,Cerebellum,30,28,25,619,7.612094543958559,114.0,114.0,,,0,0.028971028971028972,True,0.07614180691103768,False,92.0,130.0,1000
PFL,Cerebellum,6,6,5,133,3.0463038287375706,114.0,,,,0,0.6103896103896104,True,0.6951659451659451,False,70.0,138.0,1000
VeCB,Cerebellum,6,6,4,70,16.77708566534102,116.0,116.0,,,0,0.000999000999000999,True,0.005688755688755689,True,90.0,128.0,1000
SIM,Cerebellum,21,21,19,893,4.902395129838486,118.00000000000001,118.00000000000001,,,0,0.055944055944055944,True,0.11823228318073678,False,110.0,126.0,1000
UVU,Cerebellum,9,8,7,245,3.251721170799198,118.00000000000001,,,,0,0.03496503496503497,True,0.0814526382708201,False,12.0,120.0,1000
DN,Cerebellum,9,9,6,197,9.993472702753984,120.0,120.0,,,0,0.000999000999000999,True,0.005688755688755689,True,116.0,128.0,1000
LING,Cerebellum,5,5,3,45,5.2623328738222686,120.0,,,,0,0.11188811188811189,True,0.19773330118157703,False,4.0,120.0,1000
ANcr2,Cerebellum,17,15,11,519,4.196604341538385,122.0,,,,0,0.02197802197802198,True,0.06257631257631258,False,104.00000000000001,134.0,1000
