acronym,anatomical_group,pathway_group,n_pids,n_sessions,n_units,latency_ms,latency_ci_low_ms,latency_ci_high_ms,trial_ci_low_ms,trial_ci_high_ms,latency_gated_ms,p_value,q_value,significant,status,n_tested_units,n_responsive_units,percent_responsive,ci_width_ms,trial_ci_width_ms
LGd,Thalamus,Visual thalamus,24,24,557,36.00000000000001,32.0,128.0,34.0,38.0,36.00000000000001,0.000999000999000999,0.005688755688755689,True,FDR-significant,557,135.0,24.236983842010773,96.0,4.0
SCs,Midbrain,Parallel visual midbrain,24,22,185,44.0,24.0,124.0,24.0,62.0,44.0,0.003996003996003996,0.017066267066267068,False,Not FDR-significant,185,69.0,37.2972972972973,100.0,38.0
NOT,Midbrain,Parallel visual midbrain,21,20,92,46.0,20.0,52.00000000000001,44.0,48.0,46.0,0.000999000999000999,0.005688755688755689,True,FDR-significant,92,34.0,36.95652173913044,32.00000000000001,4.0
VISl,Isocortex,Higher / sensory cortex,11,11,151,48.0,46.0,130.0,42.0,52.00000000000001,48.0,0.004995004995004995,0.020077961254431845,False,Not FDR-significant,151,46.0,30.4635761589404,84.0,10.000000000000007
OP,Midbrain,Parallel visual midbrain,5,5,39,50.0,36.00000000000001,62.0,34.0,54.30000000000007,50.0,0.005994005994005994,0.0219423433709148,False,Not FDR-significant,39,15.0,38.46153846153846,25.999999999999993,20.300000000000068
VISp,Isocortex,Primary visual cortex,51,47,880,50.0,48.0,56.049999999999955,48.0,52.10000000000003,50.0,0.000999000999000999,0.005688755688755689,True,FDR-significant,880,286.0,32.5,8.049999999999955,4.10000000000003
LP,Thalamus,Visual thalamus,78,72,1812,52.00000000000001,46.0,60.0,48.0,56.0,52.00000000000001,0.000999000999000999,0.005688755688755689,True,FDR-significant,1812,565.0,31.18101545253863,14.0,8.0
LGv,Thalamus,Visual thalamus,8,8,143,54.0,10.0,72.00000000000001,8.0,70.0,54.0,0.04895104895104895,0.10563121089436879,False,Not FDR-significant,143,23.0,16.083916083916083,62.000000000000014,62.0
VISam,Isocortex,Higher / sensory cortex,23,22,374,62.0,56.0,76.04999999999995,60.0,70.0,62.0,0.000999000999000999,0.005688755688755689,True,FDR-significant,374,154.0,41.1764705882353,20.049999999999955,10.0
VISpm,Isocortex,Higher / sensory cortex,12,11,241,64.0,62.0,82.0,62.0,80.0,64.0,0.000999000999000999,0.005688755688755689,True,FDR-significant,241,68.0,28.21576763485477,20.0,18.0
VISal,Isocortex,Higher / sensory cortex,4,4,95,66.0,54.0,118.00000000000001,50.0,70.0,,0.027972027972027972,0.07545086492454914,False,Not FDR-significant,95,26.0,27.36842105263158,64.00000000000001,20.0
PRNc,Hindbrain,Later midbrain / hindbrain,11,11,280,100.0,84.0,120.0,96.0,104.10000000000004,146.0,0.012987012987012988,0.041599025974025976,False,Not FDR-significant,280,157.0,56.07142857142857,36.0,8.100000000000037
AUDv,Isocortex,Higher / sensory cortex,9,9,253,102.00000000000001,14.0,140.0,90.0,140.0,136.0,0.01098901098901099,0.03693028283192218,False,Not FDR-significant,253,96.0,37.944664031620555,126.0,50.0
ACAd,Isocortex,Association / action,24,23,369,102.00000000000001,96.0,120.0,98.0,112.10000000000002,114.0,0.000999000999000999,0.005688755688755689,True,FDR-significant,369,171.0,46.34146341463415,24.0,14.100000000000023
RN,Midbrain,Later midbrain / hindbrain,22,22,429,106.0,100.0,118.00000000000001,104.00000000000001,114.10000000000002,,0.1878121878121878,0.29616537308845003,False,Not FDR-significant,429,151.0,35.1981351981352,18.000000000000014,10.100000000000009
PRNr,Hindbrain,Later midbrain / hindbrain,26,26,770,108.0,102.00000000000001,114.0,106.0,114.0,108.0,0.000999000999000999,0.005688755688755689,True,FDR-significant,770,297.0,38.57142857142857,11.999999999999986,8.0
MRN,Midbrain,Later midbrain / hindbrain,128,110,2678,108.0,94.0,116.0,106.0,110.0,108.0,0.000999000999000999,0.005688755688755689,True,FDR-significant,2678,1211.0,45.22031366691561,22.0,4.0
GRN,Hindbrain,Later midbrain / hindbrain,17,17,560,110.0,98.0,120.0,106.0,112.0,110.0,0.000999000999000999,0.005688755688755689,True,FDR-significant,560,321.0,57.32142857142857,22.0,6.0
SCm,Midbrain,Later midbrain / hindbrain,72,62,1666,112.0,96.0,120.0,110.0,116.0,112.0,0.000999000999000999,0.005688755688755689,True,FDR-significant,1666,715.0,42.9171668667467,24.0,6.0
APN,Midbrain,Parallel visual midbrain,61,51,1543,118.00000000000001,104.00000000000001,124.0,114.0,124.0,118.00000000000001,0.000999000999000999,0.005688755688755689,True,FDR-significant,1543,681.0,44.13480233311731,19.999999999999986,10.0
CP,Cerebral nuclei,Association / action,76,71,2892,118.00000000000001,106.0,124.0,116.0,122.0,118.00000000000001,0.000999000999000999,0.005688755688755689,True,FDR-significant,2892,1079.0,37.30982019363762,18.0,6.0
IRN,Hindbrain,Later midbrain / hindbrain,31,31,744,120.0,116.0,124.0,117.9,122.0,136.0,0.000999000999000999,0.005688755688755689,True,FDR-significant,744,307.0,41.263440860215056,8.0,4.099999999999994
MOs,Isocortex,Association / action,49,45,1293,124.0,118.00000000000001,130.0,120.0,128.0,124.0,0.000999000999000999,0.005688755688755689,True,FDR-significant,1293,481.0,37.20030935808198,11.999999999999986,8.0
ACB,Cerebral nuclei,Association / action,23,23,340,128.0,28.0,140.0,30.0,140.0,,0.4225774225774226,0.5414273226773226,False,Not FDR-significant,340,152.0,44.705882352941174,112.0,110.0
MOp,Isocortex,Association / action,36,33,1458,130.0,118.00000000000001,136.0,122.0,136.0,,0.18181818181818182,0.28893587033121915,False,Not FDR-significant,1458,666.0,45.67901234567901,17.999999999999986,14.0
PARN,Hindbrain,Later midbrain / hindbrain,21,21,423,136.0,108.0,138.0,122.0,138.0,,0.18181818181818182,0.28893587033121915,False,Not FDR-significant,423,164.0,38.77068557919622,30.0,16.0
