acronym,anatomical_group,n_pids,n_sessions,n_sessions_ge5,n_units,amplitude_hz,latency_ms,latency_gated_ms,trial_ci_low_ms,trial_ci_high_ms,trial_bootstrap_valid,p_value,passes_coverage,q_value,significant,latency_ci_low_ms,latency_ci_high_ms,bootstrap_valid,pathway_group,required,status
CP,Cerebral nuclei,76,71,64,2892,3.4420387848795384,118.00000000000001,118.00000000000001,116.0,122.0,300,0.000999000999000999,True,0.005688755688755689,True,106.0,124.0,1000,Association / action,False,FDR-significant
ACB,Cerebral nuclei,23,23,19,340,1.4027840044318052,128.0,,30.0,140.0,300,0.4225774225774226,True,0.5414273226773226,False,28.0,140.0,1000,Association / action,True,Not FDR-significant
PRNc,Hindbrain,11,11,9,280,11.181414784360042,100.0,146.0,96.0,104.10000000000004,300,0.012987012987012988,True,0.041599025974025976,False,84.0,120.0,1000,Later midbrain / hindbrain,True,Not FDR-significant
PRNr,Hindbrain,26,26,20,770,6.23551943957167,108.0,108.0,106.0,114.0,300,0.000999000999000999,True,0.005688755688755689,True,102.00000000000001,114.0,1000,Later midbrain / hindbrain,False,FDR-significant
GRN,Hindbrain,17,17,14,560,13.706352955515916,110.0,110.0,106.0,112.0,300,0.000999000999000999,True,0.005688755688755689,True,98.0,120.0,1000,Later midbrain / hindbrain,True,FDR-significant
IRN,Hindbrain,31,31,27,744,8.837107284941812,120.0,136.0,117.9,122.0,300,0.000999000999000999,True,0.005688755688755689,True,116.0,124.0,1000,Later midbrain / hindbrain,False,FDR-significant
PARN,Hindbrain,21,21,16,423,4.188350286262342,136.0,,122.0,138.0,300,0.18181818181818182,True,0.28893587033121915,False,108.0,138.0,1000,Later midbrain / hindbrain,True,Not FDR-significant
VISl,Isocortex,11,11,8,151,2.5180972010330684,48.0,48.0,42.0,52.00000000000001,300,0.004995004995004995,True,0.020077961254431845,False,46.0,130.0,1000,Higher / sensory cortex,False,Not FDR-significant
VISp,Isocortex,51,47,35,880,2.987100887907539,50.0,50.0,48.0,52.10000000000003,300,0.000999000999000999,True,0.005688755688755689,True,48.0,56.049999999999955,1000,Primary visual cortex,False,FDR-significant
VISam,Isocortex,23,22,18,374,2.455667160467146,62.0,62.0,60.0,70.0,300,0.000999000999000999,True,0.005688755688755689,True,56.0,76.04999999999995,1000,Higher / sensory cortex,True,FDR-significant
VISpm,Isocortex,12,11,10,241,3.1343568813431792,64.0,64.0,62.0,80.0,300,0.000999000999000999,True,0.005688755688755689,True,62.0,82.0,1000,Higher / sensory cortex,False,FDR-significant
VISal,Isocortex,4,4,4,95,3.4470172444950924,66.0,,50.0,70.0,300,0.027972027972027972,True,0.07545086492454914,False,54.0,118.00000000000001,1000,Higher / sensory cortex,False,Not FDR-significant
ACAd,Isocortex,24,23,21,369,2.5329062851947333,102.00000000000001,114.0,98.0,112.10000000000002,300,0.000999000999000999,True,0.005688755688755689,True,96.0,120.0,1000,Association / action,False,FDR-significant
AUDv,Isocortex,9,9,6,253,1.9101253455816924,102.00000000000001,136.0,90.0,140.0,300,0.01098901098901099,True,0.03693028283192218,False,14.0,140.0,1000,Higher / sensory cortex,True,Not FDR-significant
MOs,Isocortex,49,45,36,1293,4.434066602055901,124.0,124.0,120.0,128.0,300,0.000999000999000999,True,0.005688755688755689,True,118.00000000000001,130.0,1000,Association / action,True,FDR-significant
MOp,Isocortex,36,33,30,1458,2.6286313329589794,130.0,,122.0,136.0,300,0.18181818181818182,True,0.28893587033121915,False,118.00000000000001,136.0,1000,Association / action,True,Not FDR-significant
SCs,Midbrain,24,22,14,185,1.8561389063711111,44.0,44.0,24.0,62.0,300,0.003996003996003996,True,0.017066267066267068,False,24.0,124.0,1000,Parallel visual midbrain,False,Not FDR-significant
NOT,Midbrain,21,20,9,92,6.462915296960579,46.0,46.0,44.0,48.0,300,0.000999000999000999,True,0.005688755688755689,True,20.0,52.00000000000001,1000,Parallel visual midbrain,False,FDR-significant
OP,Midbrain,5,5,5,39,8.153922794418996,50.0,50.0,34.0,54.30000000000007,300,0.005994005994005994,True,0.0219423433709148,False,36.00000000000001,62.0,1000,Parallel visual midbrain,False,Not FDR-significant
RN,Midbrain,22,22,18,429,7.91112483831332,106.0,,104.00000000000001,114.10000000000002,300,0.1878121878121878,True,0.29616537308845003,False,100.0,118.00000000000001,1000,Later midbrain / hindbrain,True,Not FDR-significant
MRN,Midbrain,128,110,99,2678,8.339588390663248,108.0,108.0,106.0,110.0,300,0.000999000999000999,True,0.005688755688755689,True,94.0,116.0,1000,Later midbrain / hindbrain,False,FDR-significant
SCm,Midbrain,72,62,54,1666,6.597514286745147,112.0,112.0,110.0,116.0,300,0.000999000999000999,True,0.005688755688755689,True,96.0,120.0,1000,Later midbrain / hindbrain,False,FDR-significant
APN,Midbrain,61,51,48,1543,4.648252749741072,118.00000000000001,118.00000000000001,114.0,124.0,300,0.000999000999000999,True,0.005688755688755689,True,104.00000000000001,124.0,1000,Parallel visual midbrain,False,FDR-significant
LGd,Thalamus,24,24,22,557,3.361013812053266,36.00000000000001,36.00000000000001,34.0,38.0,300,0.000999000999000999,True,0.005688755688755689,True,32.0,128.0,1000,Visual thalamus,False,FDR-significant
LP,Thalamus,78,72,58,1812,1.5364454233722076,52.00000000000001,52.00000000000001,48.0,56.0,300,0.000999000999000999,True,0.005688755688755689,True,46.0,60.0,1000,Visual thalamus,False,FDR-significant
LGv,Thalamus,8,8,6,143,1.6282858544637402,54.0,54.0,8.0,70.0,300,0.04895104895104895,True,0.10563121089436879,False,10.0,72.00000000000001,1000,Visual thalamus,False,Not FDR-significant
