acronym,n_tested_units,n_responsive_units,percent_responsive
AAA,25,9.0,36.0
ACAd,369,171.0,46.34146341463415
ACAv,195,102.0,52.30769230769231
ACB,340,152.0,44.705882352941174
AD,15,4.0,26.666666666666668
ADP,5,2.0,40.0
AHN,10,4.0,40.0
AId,188,88.0,46.808510638297875
AIp,93,29.0,31.182795698924732
AIv,149,45.0,30.201342281879196
AM,128,28.0,21.875
AMB,8,2.0,25.0
ANcr1,421,202.0,47.980997624703086
ANcr2,519,232.0,44.701348747591524
AON,428,165.0,38.55140186915888
AP,3,1.0,33.333333333333336
APN,1543,681.0,44.13480233311731
APr,16,5.0,31.25
AT,23,4.0,17.391304347826086
AUDd,133,44.0,33.08270676691729
AUDp,167,87.0,52.09580838323353
AUDpo,46,8.0,17.391304347826086
AUDv,253,96.0,37.944664031620555
AV,203,63.0,31.03448275862069
AVP,15,3.0,20.0
BLA,150,38.0,25.333333333333332
BMA,175,70.0,40.0
BST,207,95.0,45.893719806763286
CA1,1807,750.0,41.50525733259546
CA2,39,14.0,35.8974358974359
CA3,950,376.0,39.578947368421055
CEA,159,38.0,23.89937106918239
CENT2,613,202.0,32.95269168026101
CENT3,663,246.0,37.10407239819005
CL,38,16.0,42.10526315789474
CLA,49,13.0,26.53061224489796
CLI,89,54.0,60.674157303370784
CM,65,36.0,55.38461538461539
COAa,17,8.0,47.05882352941177
COAp,121,44.0,36.36363636363637
COPY,284,123.0,43.309859154929576
CP,2892,1079.0,37.30982019363762
CS,391,169.0,43.22250639386189
CU,24,5.0,20.833333333333332
CUL4 5,1207,486.0,40.265120132560064
CUN,100,43.0,43.0
DCO,312,159.0,50.96153846153846
DEC,190,81.0,42.63157894736842
DG,1137,422.0,37.115215479331574
DMH,16,5.0,31.25
DMX,2,1.0,50.0
DN,197,115.0,58.3756345177665
DP,318,123.0,38.679245283018865
DR,42,19.0,45.23809523809524
DT,9,3.0,33.333333333333336
DTN,21,6.0,28.571428571428573
ECT,85,28.0,32.94117647058823
ECU,21,3.0,14.285714285714286
ENTl,585,187.0,31.965811965811966
ENTm,639,321.0,50.23474178403756
EPd,199,74.0,37.185929648241206
EPv,124,57.0,45.96774193548387
Eth,366,138.0,37.704918032786885
FC,23,7.0,30.434782608695652
FL,39,19.0,48.717948717948715
FN,46,35.0,76.08695652173913
FOTU,100,41.0,41.0
FRP,88,22.0,25.0
FS,32,21.0,65.625
GPe,322,124.0,38.50931677018634
GPi,45,24.0,53.333333333333336
GR,9,2.0,22.22222222222222
GRN,560,321.0,57.32142857142857
GU,69,29.0,42.028985507246375
HATA,59,15.0,25.423728813559322
I5,42,24.0,57.142857142857146
IA,18,9.0,50.0
IAD,23,4.0,17.391304347826086
IAM,7,5.0,71.42857142857143
IC,458,201.0,43.88646288209607
ICB,65,19.0,29.23076923076923
IF,18,4.0,22.22222222222222
IG,9,2.0,22.22222222222222
IGL,16,3.0,18.75
III,7,4.0,57.142857142857146
ILA,314,118.0,37.5796178343949
IMD,1,1.0,100.0
IO,2,1.0,50.0
IP,619,305.0,49.27302100161551
IPN,10,1.0,10.0
IRN,744,307.0,41.263440860215056
ISN,4,0.0,0.0
IntG,6,5.0,83.33333333333333
LA,63,18.0,28.571428571428573
LAV,169,68.0,40.23668639053255
LD,581,154.0,26.50602409638554
LDT,51,20.0,39.21568627450981
LGd,557,135.0,24.236983842010773
LGv,143,23.0,16.083916083916083
LH,76,36.0,47.36842105263158
LHA,166,68.0,40.963855421686745
LIN,11,2.0,18.181818181818183
LING,45,15.0,33.333333333333336
LM,8,6.0,75.0
LP,1812,565.0,31.18101545253863
LPO,89,42.0,47.19101123595506
LRN,31,8.0,25.806451612903224
LSc,111,39.0,35.13513513513514
LSr,1156,481.0,41.608996539792386
LSv,164,83.0,50.609756097560975
MA,48,28.0,58.333333333333336
MARN,83,54.0,65.06024096385542
MD,604,281.0,46.52317880794702
MDRN,180,28.0,15.555555555555555
MEA,184,79.0,42.93478260869565
MEPO,5,0.0,0.0
MG,332,117.0,35.24096385542169
MH,38,18.0,47.36842105263158
MM,5,1.0,20.0
MOB,140,30.0,21.428571428571427
MOp,1458,666.0,45.67901234567901
MOs,1293,481.0,37.20030935808198
MPN,2,2.0,100.0
MPO,40,12.0,30.0
MRN,2678,1211.0,45.22031366691561
MS,106,63.0,59.43396226415094
MV,672,289.0,43.00595238095238
NB,23,13.0,56.52173913043478
NDB,50,21.0,42.0
NI,24,13.0,54.166666666666664
NLL,184,43.0,23.369565217391305
NOD,165,69.0,41.81818181818182
NOT,92,34.0,36.95652173913044
NPC,71,45.0,63.38028169014085
NTS,124,49.0,39.516129032258064
OP,39,15.0,38.46153846153846
ORBl,199,78.0,39.19597989949749
ORBm,313,120.0,38.33865814696485
ORBvl,669,201.0,30.044843049327355
OT,79,45.0,56.962025316455694
P5,46,12.0,26.08695652173913
PA,113,56.0,49.557522123893804
PAA,82,24.0,29.26829268292683
PAG,733,319.0,43.519781718963166
PAR,117,69.0,58.97435897435897
PARN,423,164.0,38.77068557919622
PAS,1,0.0,0.0
PB,306,125.0,40.849673202614376
PBG,14,5.0,35.714285714285715
PC5,35,7.0,20.0
PCG,82,32.0,39.02439024390244
PCN,84,39.0,46.42857142857143
PDTg,12,4.0,33.333333333333336
PERI,36,4.0,11.11111111111111
PF,150,101.0,67.33333333333333
PFL,133,68.0,51.12781954887218
PG,9,2.0,22.22222222222222
PGRN,120,58.0,48.333333333333336
PH,24,7.0,29.166666666666668
PIL,11,6.0,54.54545454545455
PIR,614,233.0,37.94788273615635
PL,420,185.0,44.04761904761905
PMd,2,1.0,50.0
PO,2329,689.0,29.583512237011593
POL,166,71.0,42.7710843373494
POST,233,73.0,31.330472103004293
PP,13,9.0,69.23076923076923
PPN,369,151.0,40.921409214092144
PPT,70,35.0,50.0
PR,28,8.0,28.571428571428573
PRE,115,49.0,42.608695652173914
PRM,382,189.0,49.47643979057592
PRNc,280,157.0,56.07142857142857
PRNr,770,297.0,38.57142857142857
PRP,70,13.0,18.571428571428573
PS,35,8.0,22.857142857142858
PSTN,8,2.0,25.0
PSV,115,48.0,41.73913043478261
PT,4,2.0,50.0
PVH,5,4.0,80.0
PVHd,6,2.0,33.333333333333336
PVT,84,36.0,42.857142857142854
