acronym,n_pids,n_responsive_units,latency_ms,q25_ms,q75_ms,passes_coverage,anatomical_group
AUDp,7,87,45.0,30.0,80.0,True,Isocortex
AUDd,6,44,55.0,32.5,81.25,True,Isocortex
AUDv,7,96,55.0,27.5,95.0,True,Isocortex
AUDpo,5,8,59.99999999999999,45.0,105.0,True,Isocortex
SSp-m,10,113,60.0,55.0,72.50000000000001,True,Isocortex
VISl,8,46,70.0,58.75,111.25000000000001,True,Isocortex
TEa,8,65,72.5,58.75,87.49999999999999,True,Isocortex
SSp-n,4,17,75.0,61.25,84.99999999999999,True,Isocortex
ACAv,13,102,75.00000000000001,60.00000000000001,105.00000000000001,True,Isocortex
VISam,20,154,75.00000000000001,60.0,111.25,True,Isocortex
ACAd,23,171,84.99999999999999,65.0,107.5,True,Isocortex
AId,9,88,84.99999999999999,75.00000000000001,105.0,True,Isocortex
GU,3,29,84.99999999999999,75.0,90.0,True,Isocortex
ORBvl,9,201,84.99999999999999,75.0,95.0,True,Isocortex
SSs,13,119,84.99999999999999,75.00000000000001,95.0,True,Isocortex
VISp,40,286,84.99999999999999,60.0,114.99999999999999,True,Isocortex
VISpm,9,68,85.0,84.99999999999999,105.00000000000001,True,Isocortex
VISrl,4,31,90.0,68.75,111.25,True,Isocortex
VISli,6,44,92.5,76.25000000000001,112.5,True,Isocortex
AIv,6,45,95.0,62.5,105.00000000000001,True,Isocortex
ECT,6,28,95.0,72.5,102.50000000000001,True,Isocortex
MOp,33,666,95.0,70.0,114.99999999999999,True,Isocortex
ORBm,9,120,95.0,55.0,110.0,True,Isocortex
RSPagl,19,124,95.0,65.0,114.99999999999999,True,Isocortex
VISC,5,9,95.0,45.00000000000001,105.00000000000001,True,Isocortex
VISa,41,372,95.0,55.0,114.99999999999999,True,Isocortex
VISal,3,26,95.0,82.5,95.0,True,Isocortex
MOs,41,481,99.99999999999999,84.99999999999999,114.99999999999999,True,Isocortex
PL,18,185,100.0,75.0,118.75,True,Isocortex
VISpor,4,37,100.0,85.0,110.00000000000001,True,Isocortex
ORBl,7,78,105.0,75.00000000000001,105.00000000000001,True,Isocortex
RSPd,25,104,105.00000000000001,65.0,125.0,True,Isocortex
RSPv,27,215,105.00000000000001,84.99999999999999,117.5,True,Isocortex
SSp-bfd,25,197,105.00000000000001,75.00000000000001,115.0,True,Isocortex
VISpl,6,39,105.00000000000001,105.00000000000001,120.0,True,Isocortex
ILA,10,118,110.0,60.0,122.5,True,Isocortex
PERI,2,4,110.0,97.49999999999999,122.5,False,Isocortex
AIp,6,29,112.5,98.75,114.99999999999999,True,Isocortex
FRP,9,22,114.99999999999999,75.00000000000001,125.0,True,Isocortex
SSp-ul,9,64,115.0,105.0,125.0,True,Isocortex
SSp-ll,8,58,117.5,112.5,121.25,True,Isocortex
SSp-tr,13,109,120.0,105.00000000000001,125.0,True,Isocortex
SSp-un,3,18,125.0,120.0,130.0,True,Isocortex
