acronym,n_responsive_units,median_unit_latency_ms
MRN,1211,95.0
CP,1079,95.0
CA1,750,95.0
SCm,715,95.0
PO,689,75.00000000000001
APN,681,95.0
MOp,666,84.99999999999999
LP,565,75.00000000000001
CUL4 5,486,75.00000000000001
LSr,481,75.00000000000001
MOs,481,95.0
VPM,440,84.99999999999999
DG,422,95.0
SIM,389,84.99999999999999
CA3,376,100.0
VISa,372,84.99999999999999
SUB,342,105.00000000000001
ENTm,321,95.0
GRN,321,105.00000000000001
PAG,319,84.99999999999999
IRN,307,95.0
IP,305,105.00000000000001
PRNr,297,95.0
MV,289,75.00000000000001
VISp,286,75.00000000000001
MD,281,84.99999999999999
CENT3,246,95.0
PIR,233,84.99999999999999
ANcr2,232,65.0
RSPv,215,105.00000000000001
ANcr1,202,84.99999999999999
CENT2,202,100.0
IC,201,45.0
ORBvl,201,95.0
ZI,199,84.99999999999999
SSp-bfd,197,105.00000000000001
PRM,189,95.0
RT,189,95.0
ENTl,187,95.0
PL,185,84.99999999999999
VPL,185,105.00000000000001
ACAd,171,84.99999999999999
CS,169,95.0
AON,165,84.99999999999999
PARN,164,65.0
ProS,160,75.00000000000001
DCO,159,75.00000000000001
PRNc,157,75.00000000000001
LD,154,95.0
VISam,154,75.00000000000001
ACB,152,75.00000000000001
PPN,151,84.99999999999999
RN,151,95.0
Eth,138,84.99999999999999
LGd,135,75.00000000000001
SI,131,84.99999999999999
PB,125,65.0
GPe,124,95.0
RSPagl,124,105.00000000000001
COPY,123,114.99999999999999
DP,123,95.0
SPIV,121,105.00000000000001
ORBm,120,90.0
SSs,119,95.0
ILA,118,105.00000000000001
MG,117,55.0
DN,115,95.0
SSp-m,113,65.0
SSp-tr,109,114.99999999999999
SUV,109,84.99999999999999
RSPd,104,105.00000000000001
TTd,104,95.0
VAL,103,95.0
ACAv,102,84.99999999999999
PF,101,65.0
TRN,97,75.00000000000001
AUDv,96,65.0
BST,95,84.99999999999999
SPVI,95,105.00000000000001
PoT,93,55.0
AId,88,95.0
AUDp,87,35.0
LSv,83,65.0
SNr,83,95.0
DEC,81,114.99999999999999
MEA,79,84.99999999999999
ORBl,78,84.99999999999999
EPd,74,95.0
POST,73,105.00000000000001
VCO,73,55.0
POL,71,75.00000000000001
BMA,70,80.0
NOD,69,95.0
PAR,69,84.99999999999999
SCs,69,84.99999999999999
LAV,68,105.00000000000001
LHA,68,84.99999999999999
PFL,68,105.00000000000001
VISpm,68,90.0
SMT,67,105.00000000000001
TEa,65,95.0
PYR,64,114.99999999999999
SSp-ul,64,125.0
AV,63,105.00000000000001
MS,63,125.0
UVU,60,125.0
PGRN,58,105.00000000000001
SSp-ll,58,114.99999999999999
EPv,57,95.0
PA,56,75.00000000000001
VM,55,105.00000000000001
CLI,54,95.0
MARN,54,105.00000000000001
NTS,49,84.99999999999999
PRE,49,95.0
SPVO,49,105.00000000000001
PSV,48,114.99999999999999
VISl,46,65.0
AIv,45,105.00000000000001
NPC,45,95.0
OT,45,65.0
V,45,95.0
AUDd,44,40.0
COAp,44,75.00000000000001
SF,44,75.00000000000001
SGN,44,45.0
VISli,44,75.00000000000001
CUN,43,95.0
NLL,43,95.0
LPO,42,125.0
FOTU,41,114.99999999999999
LSc,39,105.00000000000001
PCN,39,84.99999999999999
VISpl,39,105.00000000000001
BLA,38,80.0
CEA,38,75.00000000000001
VPLpc,38,60.0
VISpor,37,95.0
CM,36,90.0
LH,36,70.0
PVT,36,84.99999999999999
FN,35,105.00000000000001
PPT,35,95.0
NOT,34,65.0
SUT,34,65.0
VeCB,34,105.00000000000001
PCG,32,90.0
VISrl,31,114.99999999999999
MOB,30,55.0
SPF,30,95.0
AIp,29,105.00000000000001
GU,29,84.99999999999999
AM,28,114.99999999999999
ECT,28,90.0
MA,28,75.00000000000001
MDRN,28,120.0
VPMpc,27,65.0
VISal,26,90.0
RR,25,105.00000000000001
GPi,24,65.0
I5,24,65.0
PAA,24,75.00000000000001
SNc,24,60.0
LGv,23,55.0
SAG,23,55.0
TRS,23,65.0
FRP,22,114.99999999999999
VII,22,85.0
FS,21,114.99999999999999
NDB,21,114.99999999999999
LDT,20,114.99999999999999
DR,19,65.0
FL,19,84.99999999999999
ICB,19,75.00000000000001
RPF,19,105.00000000000001
LA,18,99.99999999999999
MH,18,105.00000000000001
SSp-un,18,130.0
SSp-n,17,84.99999999999999
CL,16,105.00000000000001
HATA,15,105.00000000000001
LING,15,84.99999999999999
OP,15,105.00000000000001
SOC,15,55.0
CA2,14,110.0
CLA,13,114.99999999999999
NB,13,55.0
NI,13,35.0
PRP,13,114.99999999999999
SPVC,13,125.0
MPO,12,105.0
P5,12,60.0
PeF,12,95.0
SPA,12,75.00000000000001
TR,10,110.0
x,10,114.99999999999999
AAA,9,75.00000000000001
IA,9,105.00000000000001
PP,9,114.99999999999999
RL,9,125.0
VISC,9,95.0
AUDpo,8,80.0
COAa,8,110.0
LRN,8,70.0
PR,8,110.0
PS,8,75.0
VTA,8,100.0
FC,7,135.0
PC5,7,65.0
PH,7,95.0
DTN,6,20.0
LM,6,80.0
PIL,6,85.0
SUM,6,95.0
APr,5,84.99999999999999
CU,5,84.99999999999999
DMH,5,105.00000000000001
IAM,5,95.0
IntG,5,105.00000000000001
PBG,5,114.99999999999999
XII,5,125.0
AD,4,130.0
AHN,4,95.0
AT,4,130.0
IAD,4,105.0
IF,4,135.0
III,4,80.0
PDTg,4,20.0
PERI,4,95.0
PVH,4,60.0
AVP,3,125.0
DT,3,55.0
ECU,3,105.00000000000001
IGL,3,105.00000000000001
RE,3,65.0
RH,3,55.0
STN,3,84.99999999999999
VTN,3,125.0
ADP,2,44.99999999999999
AMB,2,110.0
GR,2,110.0
IG,2,10.0
LIN,2,130.0
MPN,2,25.0
PG,2,120.0
PSTN,2,120.0
PT,2,55.00000000000001
PVHd,2,70.0
Pa5,2,70.0
TU,2,100.0
y,2,110.0
AP,1,65.0
DMX,1,135.0
IMD,1,135.0
IO,1,125.0
IPN,1,125.0
MM,1,65.0
PMd,1,114.99999999999999
Pa4,1,135.0
